model,set,bias,bits,cov90,excess,gain,move,n,ncrps,stay,target
openai/gpt-5.4-nano,bank|210,-0.1532,0.4546,,0.1143,,,150,,,
openai/gpt-5.4-nano,bank|all,-0.1967,0.5674,,0.1346,,,750,,,
openai/gpt-5.4-nano,tails|90,0.1886,0.3271,,0.0689,,,60,,,
openai/gpt-5.4-nano,tails|120,0.1862,0.287,,0.0578,,,60,,,
openai/gpt-5.4-nano,tails|150,0.2393,0.3997,,0.0898,,,60,,,
openai/gpt-5.4-nano,tails|180,0.2154,0.3438,,0.0727,,,60,,,
openai/gpt-5.4-nano,tails|210,0.2607,0.4416,,0.0995,,,60,,,
openai/gpt-5.4-nano,tails|all,0.218,0.3599,,0.0777,,,300,,,
openai/gpt-5.4-nano,mirrors|90,-0.5968,1.5099,,0.4079,,,10,,,
openai/gpt-5.4-nano,mirrors|120,-0.6389,1.5479,,0.4291,,,10,,,
openai/gpt-5.4-nano,mirrors|150,-0.6457,2.0628,,0.4713,,,10,,,
openai/gpt-5.4-nano,mirrors|180,-0.6125,1.7371,,0.4482,,,10,,,
openai/gpt-5.4-nano,mirrors|210,-0.512,1.2377,,0.3363,,,10,,,
openai/gpt-5.4-nano,mirrors|all,-0.6012,1.6191,,0.4186,,,50,,,
openai/gpt-5.4-nano,continuous|90,,,0.5317,0.3035,,,60,0.3728,,
openai/gpt-5.4-nano,continuous|120,,,0.3306,0.6992,,,60,0.8247,,
openai/gpt-5.4-nano,continuous|150,,,0.3838,0.6109,,,60,0.7614,,
openai/gpt-5.4-nano,continuous|180,,,0.3079,0.8241,,,60,1.0154,,
openai/gpt-5.4-nano,continuous|210,,,0.3254,0.8162,,,60,1.0308,,
openai/gpt-5.4-nano,continuous|all,,,0.3759,0.6508,,,300,0.801,,
openai/gpt-5.4-nano,natcond|120,,,,0.1138,-0.0321,0.2159,100,,0.0818,0.1029
openai/gpt-5.4-nano,natcond|150,,,,0.1213,-0.0123,0.199,100,,0.109,0.067
openai/gpt-5.4-nano,natcond|180,,,,0.1082,0.0047,0.2108,100,,0.1128,0.0879
openai/gpt-5.4-nano,natcond|210,,,,0.1058,0.0113,0.1302,100,,0.1171,0.0364
openai/gpt-5.4-nano,natcond|all,,,,0.1123,-0.0071,0.189,400,,0.1052,0.0735
openai/o4-mini,bank|90,-0.2263,0.7295,,0.163,,,150,,,
openai/o4-mini,bank|120,-0.2082,0.8344,,0.172,,,150,,,
openai/o4-mini,bank|150,-0.1879,0.8731,,0.1803,,,150,,,
openai/o4-mini,bank|180,-0.1288,0.7588,,0.154,,,150,,,
openai/o4-mini,bank|210,-0.1605,0.8046,,0.1703,,,150,,,
openai/o4-mini,bank|all,-0.1823,0.8001,,0.1679,,,750,,,
openai/o4-mini,tails|90,0.2029,0.4329,,0.1064,,,60,,,
openai/o4-mini,tails|120,0.2209,0.4894,,0.1165,,,60,,,
openai/o4-mini,tails|150,0.2451,0.5482,,0.1377,,,60,,,
openai/o4-mini,tails|180,0.2003,0.3625,,0.0839,,,60,,,
openai/o4-mini,tails|210,0.2277,0.5789,,0.1273,,,60,,,
openai/o4-mini,tails|all,0.2194,0.4824,,0.1144,,,300,,,
openai/o4-mini,mirrors|90,-0.6208,2.1567,,0.4779,,,10,,,
openai/o4-mini,mirrors|120,-0.6119,1.7625,,0.452,,,10,,,
openai/o4-mini,mirrors|150,-0.6522,2.3134,,0.5333,,,10,,,
openai/o4-mini,mirrors|180,-0.5515,1.8207,,0.4135,,,10,,,
openai/o4-mini,mirrors|210,-0.538,1.4734,,0.3843,,,10,,,
openai/o4-mini,mirrors|all,-0.5949,1.9053,,0.4522,,,50,,,
openai/o4-mini,continuous|90,,,0.5846,0.3172,,,60,0.3865,,
openai/o4-mini,continuous|120,,,0.3382,0.6964,,,60,0.8219,,
openai/o4-mini,continuous|150,,,0.3589,0.7038,,,60,0.8543,,
openai/o4-mini,continuous|180,,,0.3617,0.8853,,,60,1.0766,,
openai/o4-mini,continuous|210,,,0.3069,0.8852,,,60,1.0998,,
openai/o4-mini,continuous|all,,,0.39,0.6976,,,300,0.8478,,
openai/o4-mini,natcond|120,,,,0.1333,-0.0066,0.1836,100,,0.1267,0.1029
openai/o4-mini,natcond|150,,,,0.1487,-0.0025,0.1376,100,,0.1461,0.067
openai/o4-mini,natcond|180,,,,0.1348,0.0202,0.1281,100,,0.155,0.0879
openai/o4-mini,natcond|210,,,,0.1651,0.0106,0.0855,100,,0.1758,0.0364
openai/o4-mini,natcond|all,,,,0.1455,0.0054,0.1337,400,,0.1509,0.0735
openai/gpt-5-mini,bank|90,-0.0992,0.4794,,0.1183,,,150,,,
openai/gpt-5-mini,bank|120,-0.0938,0.5607,,0.1343,,,150,,,
openai/gpt-5-mini,bank|150,-0.0663,0.5291,,0.1306,,,150,,,
openai/gpt-5-mini,bank|180,-0.0192,0.4807,,0.1233,,,150,,,
openai/gpt-5-mini,bank|210,-0.0212,0.4971,,0.1297,,,150,,,
openai/gpt-5-mini,bank|all,-0.0599,0.5094,,0.1272,,,750,,,
openai/gpt-5-mini,tails|90,0.2841,0.5433,,0.1327,,,60,,,
openai/gpt-5-mini,tails|120,0.2549,0.4643,,0.1109,,,60,,,
openai/gpt-5-mini,tails|150,0.3388,0.6927,,0.1766,,,60,,,
openai/gpt-5-mini,tails|180,0.3596,0.7146,,0.1844,,,60,,,
openai/gpt-5-mini,tails|210,0.3997,0.8361,,0.2236,,,60,,,
openai/gpt-5-mini,tails|all,0.3274,0.6502,,0.1656,,,300,,,
openai/gpt-5-mini,mirrors|90,-0.4168,0.9327,,0.2419,,,10,,,
openai/gpt-5-mini,mirrors|120,-0.4439,0.9303,,0.2415,,,10,,,
openai/gpt-5-mini,mirrors|150,-0.4402,0.9259,,0.2443,,,10,,,
openai/gpt-5-mini,mirrors|180,-0.4425,1.1129,,0.2549,,,10,,,
openai/gpt-5-mini,mirrors|210,-0.363,0.7178,,0.1828,,,10,,,
openai/gpt-5-mini,mirrors|all,-0.4213,0.9239,,0.2331,,,50,,,
openai/gpt-5-mini,continuous|90,,,0.6261,0.3229,,,60,0.3922,,
openai/gpt-5-mini,continuous|120,,,0.4368,0.7321,,,60,0.8576,,
openai/gpt-5-mini,continuous|150,,,0.433,0.7112,,,60,0.8617,,
openai/gpt-5-mini,continuous|180,,,0.4451,0.8539,,,60,1.0452,,
openai/gpt-5-mini,continuous|210,,,0.4522,0.8366,,,60,1.0512,,
openai/gpt-5-mini,continuous|all,,,0.4786,0.6913,,,300,0.8416,,
openai/gpt-5-mini,natcond|120,,,,0.1104,-0.0091,0.2561,100,,0.1013,0.1029
openai/gpt-5-mini,natcond|150,,,,0.1208,-0.0031,0.201,100,,0.1177,0.067
openai/gpt-5-mini,natcond|180,,,,0.1152,0.0003,0.2183,100,,0.1156,0.0879
openai/gpt-5-mini,natcond|210,,,,0.1218,0.0074,0.1269,100,,0.1292,0.0364
openai/gpt-5-mini,natcond|all,,,,0.117,-0.0011,0.2006,400,,0.1159,0.0735
google/gemini-3.1-flash-lite-preview,bank|90,-0.0628,0.3713,,0.105,,,150,,,
google/gemini-3.1-flash-lite-preview,bank|120,-0.0478,0.4414,,0.121,,,150,,,
google/gemini-3.1-flash-lite-preview,bank|150,-0.0121,0.4968,,0.1332,,,150,,,
google/gemini-3.1-flash-lite-preview,bank|180,0.037,0.4933,,0.132,,,150,,,
google/gemini-3.1-flash-lite-preview,bank|210,-0.0172,0.4912,,0.1392,,,150,,,
google/gemini-3.1-flash-lite-preview,bank|all,-0.0206,0.4588,,0.1261,,,750,,,
google/gemini-3.1-flash-lite-preview,tails|90,0.2974,0.5892,,0.1434,,,60,,,
google/gemini-3.1-flash-lite-preview,tails|120,0.3094,0.5912,,0.1473,,,60,,,
google/gemini-3.1-flash-lite-preview,tails|150,0.3623,0.757,,0.1957,,,60,,,
google/gemini-3.1-flash-lite-preview,tails|180,0.3113,0.6564,,0.1615,,,60,,,
google/gemini-3.1-flash-lite-preview,tails|210,0.379,0.8252,,0.2128,,,60,,,
google/gemini-3.1-flash-lite-preview,tails|all,0.3319,0.6838,,0.1721,,,300,,,
google/gemini-3.1-flash-lite-preview,mirrors|90,-0.4418,0.9209,,0.2524,,,10,,,
google/gemini-3.1-flash-lite-preview,mirrors|120,-0.3989,0.8183,,0.2109,,,10,,,
google/gemini-3.1-flash-lite-preview,mirrors|150,-0.4652,0.9681,,0.2665,,,10,,,
google/gemini-3.1-flash-lite-preview,mirrors|180,-0.3735,0.8725,,0.222,,,10,,,
google/gemini-3.1-flash-lite-preview,mirrors|210,-0.401,0.8139,,0.2117,,,10,,,
google/gemini-3.1-flash-lite-preview,mirrors|all,-0.4161,0.8787,,0.2327,,,50,,,
google/gemini-3.1-flash-lite-preview,continuous|90,,,0.6512,0.2784,,,60,0.3477,,
google/gemini-3.1-flash-lite-preview,continuous|120,,,0.5616,0.5009,,,60,0.6263,,
google/gemini-3.1-flash-lite-preview,continuous|150,,,0.5151,0.4095,,,60,0.56,,
google/gemini-3.1-flash-lite-preview,continuous|180,,,0.4334,0.612,,,60,0.8033,,
google/gemini-3.1-flash-lite-preview,continuous|210,,,0.4515,0.6355,,,60,0.8501,,
google/gemini-3.1-flash-lite-preview,continuous|all,,,0.5226,0.4873,,,300,0.6375,,
google/gemini-3.1-flash-lite-preview,natcond|120,,,,0.1279,-0.0152,0.2659,100,,0.1127,0.1029
google/gemini-3.1-flash-lite-preview,natcond|150,,,,0.12,-0.0008,0.2306,100,,0.1192,0.067
google/gemini-3.1-flash-lite-preview,natcond|180,,,,0.1342,0.0013,0.2304,100,,0.1356,0.0879
google/gemini-3.1-flash-lite-preview,natcond|210,,,,0.103,0.0182,0.1303,100,,0.1212,0.0364
google/gemini-3.1-flash-lite-preview,natcond|all,,,,0.1213,0.0009,0.2143,400,,0.1221,0.0735
qwen/qwen3.5-flash-02-23,bank|90,-0.1133,0.5316,,0.1319,,,150,,,
qwen/qwen3.5-flash-02-23,bank|120,-0.1234,0.8529,,0.1773,,,150,,,
qwen/qwen3.5-flash-02-23,bank|150,-0.0903,0.5789,,0.1393,,,150,,,
qwen/qwen3.5-flash-02-23,bank|180,-0.0365,0.6108,,0.1533,,,150,,,
qwen/qwen3.5-flash-02-23,bank|210,-0.0885,0.6997,,0.1654,,,150,,,
qwen/qwen3.5-flash-02-23,bank|all,-0.0904,0.6548,,0.1534,,,750,,,
qwen/qwen3.5-flash-02-23,tails|90,0.2519,0.5615,,0.1406,,,60,,,
qwen/qwen3.5-flash-02-23,tails|120,0.2147,0.4446,,0.1038,,,60,,,
qwen/qwen3.5-flash-02-23,tails|150,0.3176,0.8089,,0.1967,,,60,,,
qwen/qwen3.5-flash-02-23,tails|180,0.3036,0.7453,,0.187,,,60,,,
qwen/qwen3.5-flash-02-23,tails|210,0.3905,1.0637,,0.254,,,60,,,
qwen/qwen3.5-flash-02-23,tails|all,0.2957,0.7248,,0.1764,,,300,,,
qwen/qwen3.5-flash-02-23,mirrors|90,-0.5138,1.3568,,0.3517,,,10,,,
qwen/qwen3.5-flash-02-23,mirrors|120,-0.4339,1.1591,,0.2712,,,10,,,
qwen/qwen3.5-flash-02-23,mirrors|150,-0.4632,1.652,,0.3628,,,10,,,
qwen/qwen3.5-flash-02-23,mirrors|180,-0.4265,1.1808,,0.2867,,,10,,,
qwen/qwen3.5-flash-02-23,mirrors|210,-0.433,1.3224,,0.3173,,,10,,,
qwen/qwen3.5-flash-02-23,mirrors|all,-0.4541,1.3342,,0.3179,,,50,,,
qwen/qwen3.5-flash-02-23,continuous|90,,,0.6013,0.3056,,,60,0.3749,,
qwen/qwen3.5-flash-02-23,continuous|120,,,0.3883,0.7191,,,60,0.8445,,
qwen/qwen3.5-flash-02-23,continuous|150,,,0.4954,0.5304,,,60,0.6809,,
qwen/qwen3.5-flash-02-23,continuous|180,,,0.4182,0.7277,,,60,0.919,,
qwen/qwen3.5-flash-02-23,continuous|210,,,0.4016,1.0013,,,60,1.216,,
qwen/qwen3.5-flash-02-23,continuous|all,,,0.461,0.6568,,,300,0.8071,,
qwen/qwen3.5-flash-02-23,natcond|120,,,,0.1454,-0.0191,0.2379,100,,0.1264,0.1029
qwen/qwen3.5-flash-02-23,natcond|150,,,,0.1546,-0.013,0.2209,100,,0.1416,0.067
qwen/qwen3.5-flash-02-23,natcond|180,,,,0.1494,-0.0056,0.208,100,,0.1438,0.0879
qwen/qwen3.5-flash-02-23,natcond|210,,,,0.1681,-0.0045,0.1146,100,,0.1636,0.0364
qwen/qwen3.5-flash-02-23,natcond|all,,,,0.1544,-0.0106,0.1953,400,,0.1438,0.0735
anthropic/claude-haiku-4.5,bank|90,-0.1436,0.376,,0.1036,,,150,,,
anthropic/claude-haiku-4.5,bank|120,-0.0986,0.3687,,0.1053,,,150,,,
anthropic/claude-haiku-4.5,bank|150,-0.0994,0.3738,,0.1062,,,150,,,
anthropic/claude-haiku-4.5,bank|180,-0.052,0.3714,,0.1025,,,150,,,
anthropic/claude-haiku-4.5,bank|210,-0.0766,0.3409,,0.0994,,,150,,,
anthropic/claude-haiku-4.5,bank|all,-0.094,0.3662,,0.1034,,,750,,,
anthropic/claude-haiku-4.5,tails|90,0.2694,0.4527,,0.0988,,,60,,,
anthropic/claude-haiku-4.5,tails|120,0.2509,0.391,,0.0813,,,60,,,
anthropic/claude-haiku-4.5,tails|150,0.2598,0.407,,0.0861,,,60,,,
anthropic/claude-haiku-4.5,tails|180,0.3083,0.538,,0.1267,,,60,,,
anthropic/claude-haiku-4.5,tails|210,0.3278,0.5687,,0.135,,,60,,,
anthropic/claude-haiku-4.5,tails|all,0.2832,0.4715,,0.1056,,,300,,,
anthropic/claude-haiku-4.5,mirrors|90,-0.4908,1.0579,,0.2877,,,10,,,
anthropic/claude-haiku-4.5,mirrors|120,-0.4899,1.0131,,0.269,,,10,,,
anthropic/claude-haiku-4.5,mirrors|150,-0.5712,1.5152,,0.3903,,,10,,,
anthropic/claude-haiku-4.5,mirrors|180,-0.4285,1.0604,,0.2477,,,10,,,
anthropic/claude-haiku-4.5,mirrors|210,-0.469,0.9828,,0.2646,,,10,,,
anthropic/claude-haiku-4.5,mirrors|all,-0.4899,1.1259,,0.2919,,,50,,,
anthropic/claude-haiku-4.5,continuous|90,,,0.6684,0.256,,,60,0.3253,,
anthropic/claude-haiku-4.5,continuous|120,,,0.5044,0.5825,,,60,0.708,,
anthropic/claude-haiku-4.5,continuous|150,,,0.5114,0.4554,,,60,0.6059,,
anthropic/claude-haiku-4.5,continuous|180,,,0.4928,0.6172,,,60,0.8085,,
anthropic/claude-haiku-4.5,continuous|210,,,0.4035,0.6625,,,60,0.8772,,
anthropic/claude-haiku-4.5,continuous|all,,,0.5161,0.5147,,,300,0.665,,
anthropic/claude-haiku-4.5,natcond|120,,,,0.111,-0.0263,0.2202,100,,0.0847,0.1029
anthropic/claude-haiku-4.5,natcond|150,,,,0.105,-0.0104,0.2154,100,,0.0946,0.067
anthropic/claude-haiku-4.5,natcond|180,,,,0.1007,-0.0041,0.1954,100,,0.0966,0.0879
anthropic/claude-haiku-4.5,natcond|210,,,,0.0956,0.0104,0.1313,100,,0.106,0.0364
anthropic/claude-haiku-4.5,natcond|all,,,,0.1031,-0.0076,0.1906,400,,0.0955,0.0735
openai/gpt-5-nano,bank|90,-0.1429,0.3764,,0.1098,,,150,,,
openai/gpt-5-nano,bank|120,-0.1747,0.4382,,0.1283,,,150,,,
openai/gpt-5-nano,bank|150,-0.1464,0.4688,,0.1328,,,150,,,
openai/gpt-5-nano,bank|180,-0.1409,0.3953,,0.1143,,,150,,,
openai/gpt-5-nano,bank|210,-0.1756,0.4716,,0.1334,,,150,,,
openai/gpt-5-nano,bank|all,-0.1561,0.4301,,0.1237,,,750,,,
openai/gpt-5-nano,tails|90,0.2834,0.4701,,0.1022,,,60,,,
openai/gpt-5-nano,tails|120,0.2616,0.435,,0.093,,,60,,,
openai/gpt-5-nano,tails|150,0.3105,0.5574,,0.1369,,,60,,,
openai/gpt-5-nano,tails|180,0.2766,0.4691,,0.1059,,,60,,,
openai/gpt-5-nano,tails|210,0.254,0.4137,,0.0894,,,60,,,
openai/gpt-5-nano,tails|all,0.2772,0.4691,,0.1055,,,300,,,
openai/gpt-5-nano,mirrors|90,-0.5538,1.2786,,0.348,,,10,,,
openai/gpt-5-nano,mirrors|120,-0.5369,1.1806,,0.3226,,,10,,,
openai/gpt-5-nano,mirrors|150,-0.6392,1.5529,,0.4358,,,10,,,
openai/gpt-5-nano,mirrors|180,-0.6665,1.7233,,0.4918,,,10,,,
openai/gpt-5-nano,mirrors|210,-0.649,1.6174,,0.446,,,10,,,
openai/gpt-5-nano,mirrors|all,-0.6091,1.4706,,0.4088,,,50,,,
openai/gpt-5-nano,continuous|90,,,0.4408,0.4433,,,60,0.5126,,
openai/gpt-5-nano,continuous|120,,,0.2358,0.9174,,,60,1.0429,,
openai/gpt-5-nano,continuous|150,,,0.2845,0.8425,,,60,0.993,,
openai/gpt-5-nano,continuous|180,,,0.1971,1.1259,,,60,1.3173,,
openai/gpt-5-nano,continuous|210,,,0.1955,1.173,,,60,1.3877,,
openai/gpt-5-nano,continuous|all,,,0.2707,0.9004,,,300,1.0507,,
openai/gpt-5-nano,natcond|120,,,,0.1032,-0.019,0.1601,100,,0.0842,0.1029
openai/gpt-5-nano,natcond|150,,,,0.1227,-0.0044,0.1573,100,,0.1183,0.067
openai/gpt-5-nano,natcond|180,,,,0.1017,0.006,0.1506,100,,0.1077,0.0879
openai/gpt-5-nano,natcond|210,,,,0.1184,0.0108,0.1128,100,,0.1292,0.0364
openai/gpt-5-nano,natcond|all,,,,0.1115,-0.0016,0.1452,400,,0.1099,0.0735
moonshotai/kimi-k2,bank|90,-0.1384,0.4197,,0.1143,,,150,,,
moonshotai/kimi-k2,bank|120,-0.1487,0.4544,,0.1247,,,150,,,
moonshotai/kimi-k2,bank|150,-0.1348,0.4489,,0.1233,,,150,,,
moonshotai/kimi-k2,bank|180,-0.1088,0.4616,,0.1284,,,150,,,
moonshotai/kimi-k2,bank|210,-0.125,0.3947,,0.1115,,,150,,,
moonshotai/kimi-k2,bank|all,-0.1311,0.4359,,0.1205,,,750,,,
moonshotai/kimi-k2,tails|90,0.2399,0.3884,,0.0821,,,60,,,
moonshotai/kimi-k2,tails|120,0.2597,0.4315,,0.0982,,,60,,,
moonshotai/kimi-k2,tails|150,0.296,0.5306,,0.1302,,,60,,,
moonshotai/kimi-k2,tails|180,0.2639,0.4457,,0.1034,,,60,,,
moonshotai/kimi-k2,tails|210,0.2997,0.5306,,0.1268,,,60,,,
moonshotai/kimi-k2,tails|all,0.2719,0.4653,,0.1081,,,300,,,
moonshotai/kimi-k2,mirrors|90,-0.5458,1.222,,0.346,,,10,,,
moonshotai/kimi-k2,mirrors|120,-0.4569,0.8797,,0.2251,,,10,,,
moonshotai/kimi-k2,mirrors|150,-0.6022,1.5914,,0.4156,,,10,,,
moonshotai/kimi-k2,mirrors|180,-0.5645,1.292,,0.3648,,,10,,,
moonshotai/kimi-k2,mirrors|210,-0.516,1.2059,,0.3177,,,10,,,
moonshotai/kimi-k2,mirrors|all,-0.5371,1.2382,,0.3338,,,50,,,
moonshotai/kimi-k2,continuous|90,,,0.7486,0.2017,,,60,0.269,,
moonshotai/kimi-k2,continuous|120,,,0.6219,0.5209,,,60,0.6457,,
moonshotai/kimi-k2,continuous|150,,,0.7083,0.4463,,,60,0.5971,,
moonshotai/kimi-k2,continuous|180,,,0.6712,0.6813,,,60,0.8723,,
moonshotai/kimi-k2,continuous|210,,,0.688,0.5459,,,60,0.7606,,
moonshotai/kimi-k2,continuous|all,,,0.6872,0.4822,,,300,0.6331,,
moonshotai/kimi-k2,natcond|120,,,,0.1097,-0.0237,0.2361,100,,0.0861,0.103
moonshotai/kimi-k2,natcond|150,,,,0.1215,-0.0111,0.2201,100,,0.1104,0.0673
moonshotai/kimi-k2,natcond|180,,,,0.121,0.0062,0.2223,100,,0.1272,0.0885
moonshotai/kimi-k2,natcond|210,,,,0.0977,0.007,0.1452,100,,0.1047,0.0364
moonshotai/kimi-k2,natcond|all,,,,0.1124,-0.0054,0.2057,400,,0.107,0.0736
google/gemini-2.5-flash,bank|90,-0.0212,0.696,,0.1561,,,150,,,
google/gemini-2.5-flash,bank|120,-0.0362,0.7511,,0.1639,,,150,,,
google/gemini-2.5-flash,bank|150,0.0503,0.6733,,0.1445,,,150,,,
google/gemini-2.5-flash,bank|180,0.0351,0.7065,,0.1655,,,150,,,
google/gemini-2.5-flash,bank|210,0.0083,0.6449,,0.1452,,,150,,,
google/gemini-2.5-flash,bank|all,0.0072,0.6944,,0.155,,,750,,,
google/gemini-2.5-flash,tails|90,0.3753,1.0489,,0.2636,,,60,,,
google/gemini-2.5-flash,tails|120,0.3627,0.879,,0.2288,,,60,,,
google/gemini-2.5-flash,tails|150,0.3845,1.0155,,0.2638,,,60,,,
google/gemini-2.5-flash,tails|180,0.3616,0.9912,,0.258,,,60,,,
google/gemini-2.5-flash,tails|210,0.4992,1.3713,,0.3612,,,60,,,
google/gemini-2.5-flash,tails|all,0.3967,1.0612,,0.2751,,,300,,,
google/gemini-2.5-flash,mirrors|90,-0.2788,0.6545,,0.1324,,,10,,,
google/gemini-2.5-flash,mirrors|120,-0.2109,0.6297,,0.1066,,,10,,,
google/gemini-2.5-flash,mirrors|150,-0.3042,0.878,,0.2024,,,10,,,
google/gemini-2.5-flash,mirrors|180,-0.2985,0.9494,,0.1947,,,10,,,
google/gemini-2.5-flash,mirrors|210,-0.374,0.8832,,0.2322,,,10,,,
google/gemini-2.5-flash,mirrors|all,-0.2933,0.799,,0.1737,,,50,,,
google/gemini-2.5-flash,continuous|90,,,0.5969,0.2517,,,60,0.321,,
google/gemini-2.5-flash,continuous|120,,,0.4493,0.5235,,,60,0.649,,
google/gemini-2.5-flash,continuous|150,,,0.5252,0.3866,,,60,0.5371,,
google/gemini-2.5-flash,continuous|180,,,0.4807,0.5923,,,60,0.7836,,
google/gemini-2.5-flash,continuous|210,,,0.4688,0.5973,,,60,0.812,,
google/gemini-2.5-flash,continuous|all,,,0.5042,0.4703,,,300,0.6205,,
google/gemini-2.5-flash,natcond|120,,,,0.2003,-0.038,0.2764,100,,0.1623,0.1029
google/gemini-2.5-flash,natcond|150,,,,0.1922,-0.0332,0.2575,100,,0.159,0.067
google/gemini-2.5-flash,natcond|180,,,,0.1672,-0.0052,0.2838,100,,0.1619,0.0879
google/gemini-2.5-flash,natcond|210,,,,0.1442,0.0052,0.1989,100,,0.1494,0.0364
google/gemini-2.5-flash,natcond|all,,,,0.176,-0.0178,0.2542,400,,0.1582,0.0735
qwen/qwen3-235b-a22b,bank|90,-0.1526,0.4854,,0.1218,,,150,,,
qwen/qwen3-235b-a22b,bank|120,-0.1743,0.6155,,0.1483,,,150,,,
qwen/qwen3-235b-a22b,bank|150,-0.1435,0.534,,0.1395,,,150,,,
qwen/qwen3-235b-a22b,bank|180,-0.1202,0.6122,,0.1411,,,150,,,
qwen/qwen3-235b-a22b,bank|210,-0.1412,0.5649,,0.1373,,,150,,,
qwen/qwen3-235b-a22b,bank|all,-0.1464,0.5624,,0.1376,,,750,,,
qwen/qwen3-235b-a22b,tails|90,0.2747,0.5072,,0.1161,,,60,,,
qwen/qwen3-235b-a22b,tails|120,0.2122,0.3608,,0.0765,,,60,,,
qwen/qwen3-235b-a22b,tails|150,0.2706,0.5112,,0.1229,,,60,,,
qwen/qwen3-235b-a22b,tails|180,0.3026,0.5615,,0.1372,,,60,,,
qwen/qwen3-235b-a22b,tails|210,0.2956,0.5682,,0.1364,,,60,,,
qwen/qwen3-235b-a22b,tails|all,0.2712,0.5018,,0.1178,,,300,,,
qwen/qwen3-235b-a22b,mirrors|90,-0.4988,1.1625,,0.313,,,10,,,
qwen/qwen3-235b-a22b,mirrors|120,-0.5089,1.2203,,0.3134,,,10,,,
qwen/qwen3-235b-a22b,mirrors|150,-0.5451,2.0317,,0.3843,,,10,,,
qwen/qwen3-235b-a22b,mirrors|180,-0.6865,2.1441,,0.542,,,10,,,
qwen/qwen3-235b-a22b,mirrors|210,-0.606,1.7385,,0.4436,,,10,,,
qwen/qwen3-235b-a22b,mirrors|all,-0.5691,1.6594,,0.3993,,,50,,,
qwen/qwen3-235b-a22b,continuous|90,,,0.5817,0.3973,,,60,0.4666,,
qwen/qwen3-235b-a22b,continuous|120,,,0.3954,0.821,,,60,0.9464,,
qwen/qwen3-235b-a22b,continuous|150,,,0.4293,0.7037,,,60,0.8542,,
qwen/qwen3-235b-a22b,continuous|180,,,0.3382,0.8862,,,60,1.0775,,
qwen/qwen3-235b-a22b,continuous|210,,,0.4007,0.8691,,,60,1.0838,,
qwen/qwen3-235b-a22b,continuous|all,,,0.429,0.7355,,,300,0.8857,,
qwen/qwen3-235b-a22b,natcond|120,,,,0.1222,-0.0107,0.2014,100,,0.1116,0.1029
qwen/qwen3-235b-a22b,natcond|150,,,,0.1042,0.02,0.192,100,,0.1242,0.067
qwen/qwen3-235b-a22b,natcond|180,,,,0.1011,0.0209,0.1922,100,,0.122,0.0879
qwen/qwen3-235b-a22b,natcond|210,,,,0.1185,0.0281,0.1276,100,,0.1466,0.0364
qwen/qwen3-235b-a22b,natcond|all,,,,0.1115,0.0146,0.1783,400,,0.1261,0.0735
openai/gpt-4.1,bank|90,-0.0264,0.505,,0.1165,,,150,,,
openai/gpt-4.1,bank|120,-0.0251,0.5175,,0.1199,,,150,,,
openai/gpt-4.1,bank|150,0.0416,0.5272,,0.1341,,,150,,,
openai/gpt-4.1,bank|180,0.0992,0.6213,,0.1494,,,150,,,
openai/gpt-4.1,bank|210,0.099,0.6489,,0.1559,,,150,,,
openai/gpt-4.1,bank|all,0.0377,0.564,,0.1352,,,750,,,
openai/gpt-4.1,tails|90,0.2981,0.7317,,0.1748,,,60,,,
openai/gpt-4.1,tails|120,0.3358,0.7608,,0.1973,,,60,,,
openai/gpt-4.1,tails|150,0.4321,1.1095,,0.2878,,,60,,,
openai/gpt-4.1,tails|180,0.4351,1.1495,,0.2893,,,60,,,
openai/gpt-4.1,tails|210,0.4802,1.3566,,0.3255,,,60,,,
openai/gpt-4.1,tails|all,0.3963,1.0216,,0.255,,,300,,,
openai/gpt-4.1,mirrors|90,-0.2858,0.4666,,0.1096,,,10,,,
openai/gpt-4.1,mirrors|120,-0.2439,0.6806,,0.1155,,,10,,,
openai/gpt-4.1,mirrors|150,-0.2412,0.6605,,0.1252,,,10,,,
openai/gpt-4.1,mirrors|180,-0.3085,0.56,,0.1398,,,10,,,
openai/gpt-4.1,mirrors|210,-0.178,0.3055,,0.0672,,,10,,,
openai/gpt-4.1,mirrors|all,-0.2515,0.5347,,0.1115,,,50,,,
openai/gpt-4.1,continuous|90,,,0.5792,0.263,,,60,0.3323,,
openai/gpt-4.1,continuous|120,,,0.4242,0.567,,,60,0.6925,,
openai/gpt-4.1,continuous|150,,,0.5194,0.4349,,,60,0.5854,,
openai/gpt-4.1,continuous|180,,,0.4813,0.5597,,,60,0.7511,,
openai/gpt-4.1,continuous|210,,,0.5604,0.4965,,,60,0.7112,,
openai/gpt-4.1,continuous|all,,,0.5129,0.4642,,,300,0.6145,,
openai/gpt-4.1,natcond|120,,,,0.1307,-0.0208,0.2466,100,,0.11,0.1029
openai/gpt-4.1,natcond|150,,,,0.144,0.0099,0.2356,100,,0.1538,0.067
openai/gpt-4.1,natcond|180,,,,0.1456,0.0076,0.2205,100,,0.1532,0.0879
openai/gpt-4.1,natcond|210,,,,0.1334,0.0078,0.1203,100,,0.1412,0.0364
openai/gpt-4.1,natcond|all,,,,0.1384,0.0011,0.2057,400,,0.1396,0.0735
