model,block,horizon,excess,gain,move,n,stay,target
openai/o4-mini,C2,150,0.1299,-0.0048,0.1896,42,0.1251,0.0883
openai/o4-mini,C2,180,0.1387,0.0204,0.1624,42,0.1591,0.102
openai/o4-mini,C2,210,0.1543,0.0171,0.0672,46,0.1714,0.0328
openai/o4-mini,C2,all,0.1459,0.0064,0.1617,172,0.1523,0.0869
openai/o4-mini,D,120,0.065,0.0099,0.0652,25,0.0749,0.0645
openai/o4-mini,D,150,0.1602,0.0103,0.0592,25,0.1705,0.0523
openai/o4-mini,D,180,0.1279,0.0374,0.072,25,0.1653,0.0991
openai/o4-mini,D,210,0.2002,0.0032,0.0752,25,0.2034,0.0553
openai/o4-mini,D,all,0.1383,0.0152,0.0679,100,0.1535,0.0678
openai/gpt-5-mini,A,120,0.1121,0.0424,0.06,9,0.1544,0.0167
openai/gpt-5-mini,A,150,0.2091,0.0273,0.0722,9,0.2364,0.0039
openai/gpt-5-mini,A,180,0.1521,-0.0267,0.0711,9,0.1254,0.0103
openai/gpt-5-mini,A,210,0.192,-0.0133,0.0633,9,0.1787,0.0042
openai/gpt-5-mini,A,all,0.1663,0.0074,0.0667,36,0.1737,0.0088
openai/gpt-5-mini,B,120,0.0231,0.0144,0.14,9,0.0375,0.0157
openai/gpt-5-mini,B,150,0.2096,-0.0293,0.1022,9,0.1803,0.0071
openai/gpt-5-mini,B,180,0.2278,0.0147,0.0978,9,0.2424,0.0241
openai/gpt-5-mini,B,210,0.1246,-0.003,0.08,9,0.1216,0.0022
openai/gpt-5-mini,B,all,0.1463,-0.0008,0.105,36,0.1454,0.0123
openai/gpt-5-mini,C1,120,0.1535,-0.0721,0.4073,15,0.0815,0.1968
openai/gpt-5-mini,C1,150,0.1403,-0.0506,0.2973,15,0.0897,0.1057
openai/gpt-5-mini,C1,180,0.1164,-0.0507,0.3227,15,0.0657,0.1144
openai/gpt-5-mini,C1,210,0.164,-0.0051,0.3236,11,0.1588,0.0624
openai/gpt-5-mini,C1,all,0.1421,-0.0474,0.3387,56,0.0947,0.1239
openai/gpt-5-mini,C2,120,0.1193,-0.0015,0.3315,42,0.1177,0.1294
openai/gpt-5-mini,C2,150,0.0982,0.0059,0.25,42,0.1041,0.0883
openai/gpt-5-mini,C2,180,0.0938,0.0109,0.2898,42,0.1047,0.102
openai/gpt-5-mini,C2,210,0.1087,0.0188,0.1116,46,0.1275,0.0328
openai/gpt-5-mini,C2,all,0.1051,0.0087,0.2426,172,0.1139,0.0869
openai/gpt-5-mini,D,120,0.1004,-0.0111,0.1508,25,0.0893,0.0645
openai/gpt-5-mini,D,150,0.0831,0.0089,0.1428,25,0.092,0.0523
openai/gpt-5-mini,D,180,0.0966,0.0178,0.132,25,0.1145,0.0991
openai/gpt-5-mini,D,210,0.101,0.003,0.108,25,0.104,0.0553
openai/gpt-5-mini,D,all,0.0953,0.0046,0.1334,100,0.0999,0.0678
google/gemini-3.1-flash-lite-preview,A,120,0.0424,0.0413,0.0756,9,0.0837,0.0167
google/gemini-3.1-flash-lite-preview,A,150,0.1775,0.0078,0.0578,9,0.1853,0.0039
google/gemini-3.1-flash-lite-preview,A,180,0.1655,0.0021,0.0644,9,0.1676,0.0103
google/gemini-3.1-flash-lite-preview,A,210,0.0814,0.007,0.0622,9,0.0884,0.0042
google/gemini-3.1-flash-lite-preview,A,all,0.1167,0.0145,0.065,36,0.1312,0.0088
google/gemini-3.1-flash-lite-preview,B,120,0.0597,0.0214,0.0867,9,0.0811,0.0157
google/gemini-3.1-flash-lite-preview,B,150,0.2465,-0.0385,0.0656,9,0.208,0.0071
google/gemini-3.1-flash-lite-preview,B,180,0.2335,0.0199,0.1078,9,0.2534,0.0241
google/gemini-3.1-flash-lite-preview,B,210,0.1055,-0.0121,0.0756,9,0.0934,0.0022
google/gemini-3.1-flash-lite-preview,B,all,0.1613,-0.0023,0.0839,36,0.159,0.0123
google/gemini-3.1-flash-lite-preview,C1,120,0.192,-0.0922,0.3967,15,0.0998,0.1968
google/gemini-3.1-flash-lite-preview,C1,150,0.1651,-0.0709,0.3347,15,0.0942,0.1057
google/gemini-3.1-flash-lite-preview,C1,180,0.1348,-0.0666,0.3067,15,0.0683,0.1144
google/gemini-3.1-flash-lite-preview,C1,210,0.1667,0.0158,0.2682,11,0.1825,0.0624
google/gemini-3.1-flash-lite-preview,C1,all,0.1645,-0.0584,0.3307,56,0.1061,0.1239
google/gemini-3.1-flash-lite-preview,C2,120,0.1365,0.0133,0.3569,42,0.1497,0.1294
google/gemini-3.1-flash-lite-preview,C2,150,0.0899,0.0182,0.3038,42,0.1081,0.0883
google/gemini-3.1-flash-lite-preview,C2,180,0.1078,0.0054,0.3205,42,0.1132,0.102
google/gemini-3.1-flash-lite-preview,C2,210,0.0857,0.0263,0.1272,46,0.112,0.0328
google/gemini-3.1-flash-lite-preview,C2,all,0.1045,0.016,0.2736,172,0.1206,0.0869
google/gemini-3.1-flash-lite-preview,D,120,0.1305,-0.0503,0.1676,25,0.0801,0.0645
google/gemini-3.1-flash-lite-preview,D,150,0.0771,0.0199,0.1668,25,0.097,0.0523
google/gemini-3.1-flash-lite-preview,D,180,0.1311,0.0284,0.1372,25,0.1595,0.0991
google/gemini-3.1-flash-lite-preview,D,210,0.1137,0.0191,0.1196,25,0.1328,0.0553
google/gemini-3.1-flash-lite-preview,D,all,0.1131,0.0043,0.1478,100,0.1174,0.0678
qwen/qwen3.5-flash-02-23,A,120,0.1372,0.0518,0.0789,9,0.189,0.0167
qwen/qwen3.5-flash-02-23,A,150,0.3446,-0.0121,0.0411,9,0.3325,0.0039
qwen/qwen3.5-flash-02-23,A,180,0.198,-0.0093,0.0356,9,0.1887,0.0103
qwen/qwen3.5-flash-02-23,A,210,0.2449,-0.007,0.0433,9,0.2379,0.0042
qwen/qwen3.5-flash-02-23,A,all,0.2312,0.0059,0.0497,36,0.237,0.0088
qwen/qwen3.5-flash-02-23,B,120,0.0773,0.0213,0.1,9,0.0985,0.0157
qwen/qwen3.5-flash-02-23,B,150,0.2229,-0.0349,0.08,9,0.188,0.0071
qwen/qwen3.5-flash-02-23,B,180,0.2583,0.0538,0.0556,9,0.3121,0.0241
qwen/qwen3.5-flash-02-23,B,210,0.1519,0.0035,0.0544,9,0.1554,0.0022
qwen/qwen3.5-flash-02-23,B,all,0.1776,0.0109,0.0725,36,0.1885,0.0123
qwen/qwen3.5-flash-02-23,C1,120,0.1553,-0.0834,0.4173,15,0.0718,0.1968
qwen/qwen3.5-flash-02-23,C1,150,0.1805,-0.0526,0.262,15,0.1279,0.1057
qwen/qwen3.5-flash-02-23,C1,180,0.1589,-0.0666,0.3253,15,0.0923,0.1144
qwen/qwen3.5-flash-02-23,C1,210,0.2422,-0.0356,0.2373,11,0.2066,0.0624
qwen/qwen3.5-flash-02-23,C1,all,0.1801,-0.0613,0.3157,56,0.1188,0.1239
qwen/qwen3.5-flash-02-23,C2,120,0.1896,-0.019,0.3217,42,0.1705,0.1294
qwen/qwen3.5-flash-02-23,C2,150,0.1248,0.0042,0.3102,42,0.129,0.0883
qwen/qwen3.5-flash-02-23,C2,180,0.1457,-0.0189,0.2726,42,0.1267,0.102
qwen/qwen3.5-flash-02-23,C2,210,0.1599,-0.0104,0.1222,46,0.1496,0.0328
qwen/qwen3.5-flash-02-23,C2,all,0.1551,-0.011,0.2535,172,0.1441,0.0869
qwen/qwen3.5-flash-02-23,D,120,0.0929,-0.0206,0.0964,25,0.0724,0.0645
qwen/qwen3.5-flash-02-23,D,150,0.0962,-0.0108,0.1616,25,0.0854,0.0523
qwen/qwen3.5-flash-02-23,D,180,0.0931,0.0335,0.146,25,0.1266,0.0991
qwen/qwen3.5-flash-02-23,D,210,0.1288,0.0178,0.094,25,0.1466,0.0553
qwen/qwen3.5-flash-02-23,D,all,0.1027,0.005,0.1245,100,0.1077,0.0678
anthropic/claude-haiku-4.5,A,120,0.0495,0.0381,0.0789,9,0.0876,0.0167
anthropic/claude-haiku-4.5,A,150,0.1442,0.0085,0.0844,9,0.1527,0.0039
anthropic/claude-haiku-4.5,A,180,0.1165,0.0092,0.0556,9,0.1257,0.0103
anthropic/claude-haiku-4.5,A,210,0.1638,0.0233,0.0589,9,0.1871,0.0042
anthropic/claude-haiku-4.5,A,all,0.1185,0.0198,0.0694,36,0.1383,0.0088
anthropic/claude-haiku-4.5,B,120,0.0402,0.0219,0.1089,9,0.0621,0.0157
anthropic/claude-haiku-4.5,B,150,0.1326,-0.0418,0.0811,9,0.0908,0.0071
anthropic/claude-haiku-4.5,B,180,0.1983,-0.0187,0.0911,9,0.1796,0.0241
anthropic/claude-haiku-4.5,B,210,0.084,-0.0018,0.0911,9,0.0822,0.0022
anthropic/claude-haiku-4.5,B,all,0.1138,-0.0101,0.0931,36,0.1037,0.0123
anthropic/claude-haiku-4.5,C1,120,0.2029,-0.1156,0.3887,15,0.0873,0.1968
anthropic/claude-haiku-4.5,C1,150,0.198,-0.0662,0.314,15,0.1318,0.1057
anthropic/claude-haiku-4.5,C1,180,0.106,-0.0609,0.296,15,0.0451,0.1144
anthropic/claude-haiku-4.5,C1,210,0.1577,-0.0105,0.2636,11,0.1472,0.0624
anthropic/claude-haiku-4.5,C1,all,0.1668,-0.0671,0.3193,56,0.0997,0.1239
anthropic/claude-haiku-4.5,C2,120,0.124,-0.0253,0.2681,42,0.0987,0.1294
anthropic/claude-haiku-4.5,C2,150,0.0772,0.0063,0.2714,42,0.0835,0.0883
anthropic/claude-haiku-4.5,C2,180,0.0832,-0.0019,0.249,42,0.0813,0.102
anthropic/claude-haiku-4.5,C2,210,0.0874,0.0009,0.1243,46,0.0882,0.0328
anthropic/claude-haiku-4.5,C2,all,0.0928,-0.0049,0.2258,172,0.0879,0.0869
anthropic/claude-haiku-4.5,D,120,0.0815,-0.015,0.1296,25,0.0666,0.0645
anthropic/claude-haiku-4.5,D,150,0.0719,-0.0006,0.1576,25,0.0713,0.0523
anthropic/claude-haiku-4.5,D,180,0.086,0.0267,0.1328,25,0.1127,0.0991
anthropic/claude-haiku-4.5,D,210,0.063,0.0371,0.1264,25,0.1001,0.0553
anthropic/claude-haiku-4.5,D,all,0.0756,0.0121,0.1366,100,0.0877,0.0678
openai/gpt-5-nano,A,120,0.0948,0.0278,0.0556,9,0.1226,0.0167
openai/gpt-5-nano,A,150,0.1976,0.0143,0.0567,9,0.2119,0.0039
openai/gpt-5-nano,A,180,0.0827,0.0,0.0389,9,0.0827,0.0103
openai/gpt-5-nano,A,210,0.1889,0.013,0.0544,9,0.2019,0.0042
openai/gpt-5-nano,A,all,0.141,0.0138,0.0514,36,0.1548,0.0088
openai/gpt-5-nano,B,120,0.1035,0.0283,0.0878,9,0.1318,0.0157
openai/gpt-5-nano,B,150,0.2352,-0.0329,0.0556,9,0.2023,0.0071
openai/gpt-5-nano,B,180,0.2127,0.0034,0.0578,9,0.2161,0.0241
openai/gpt-5-nano,B,210,0.0733,0.0154,0.0711,9,0.0887,0.0022
openai/gpt-5-nano,B,all,0.1562,0.0036,0.0681,36,0.1597,0.0123
openai/gpt-5-nano,C1,120,0.1576,-0.1223,0.254,15,0.0353,0.1968
openai/gpt-5-nano,C1,150,0.1549,-0.1057,0.324,15,0.0492,0.1057
openai/gpt-5-nano,C1,180,0.1057,-0.0709,0.324,15,0.0347,0.1144
openai/gpt-5-nano,C1,210,0.1351,-0.0378,0.3464,11,0.0972,0.0624
openai/gpt-5-nano,C1,all,0.1385,-0.0875,0.3096,56,0.051,0.1239
openai/gpt-5-nano,C2,120,0.0986,-0.0176,0.2048,42,0.0811,0.1294
openai/gpt-5-nano,C2,150,0.0907,0.0139,0.1824,42,0.1046,0.0883
openai/gpt-5-nano,C2,180,0.0522,0.0173,0.1738,42,0.0695,0.102
openai/gpt-5-nano,C2,210,0.1005,0.0039,0.0972,46,0.1044,0.0328
openai/gpt-5-nano,C2,all,0.0859,0.0044,0.163,172,0.0902,0.0869
openai/gpt-5-nano,D,120,0.0811,0.0069,0.0924,25,0.088,0.0645
openai/gpt-5-nano,D,150,0.0898,0.0291,0.088,25,0.1188,0.0523
openai/gpt-5-nano,D,180,0.1493,0.0363,0.0812,25,0.1856,0.0991
openai/gpt-5-nano,D,210,0.1347,0.0426,0.0748,25,0.1773,0.0553
openai/gpt-5-nano,D,all,0.1137,0.0287,0.0841,100,0.1424,0.0678
moonshotai/kimi-k2,A,120,0.0618,0.0314,0.0856,9,0.0932,0.0167
moonshotai/kimi-k2,A,150,0.224,-0.0151,0.0544,9,0.2089,0.0039
moonshotai/kimi-k2,A,180,0.1057,0.0462,0.0956,9,0.1519,0.0103
moonshotai/kimi-k2,A,210,0.1304,0.0126,0.06,9,0.143,0.0042
moonshotai/kimi-k2,A,all,0.1305,0.0188,0.0739,36,0.1492,0.0088
moonshotai/kimi-k2,B,120,0.0409,0.013,0.0822,9,0.0539,0.0157
moonshotai/kimi-k2,B,150,0.217,-0.0455,0.0822,9,0.1715,0.0071
moonshotai/kimi-k2,B,180,0.2119,0.0298,0.0878,9,0.2417,0.0241
moonshotai/kimi-k2,B,210,0.0412,-0.004,0.0933,9,0.0372,0.0022
moonshotai/kimi-k2,B,all,0.1277,-0.0017,0.0864,36,0.1261,0.0123
moonshotai/kimi-k2,C1,120,0.138,-0.0684,0.355,14,0.0696,0.204
moonshotai/kimi-k2,C1,150,0.1459,-0.0823,0.344,15,0.0636,0.1057
moonshotai/kimi-k2,C1,180,0.1071,-0.0536,0.3247,15,0.0536,0.1144
moonshotai/kimi-k2,C1,210,0.1236,-0.0198,0.2873,11,0.1039,0.0624
moonshotai/kimi-k2,C1,all,0.1289,-0.0584,0.3302,55,0.0704,0.1245
moonshotai/kimi-k2,C2,120,0.1231,-0.0211,0.3079,42,0.102,0.1294
moonshotai/kimi-k2,C2,150,0.096,-0.003,0.2883,41,0.0929,0.0895
moonshotai/kimi-k2,C2,180,0.0998,-0.0117,0.2995,40,0.0881,0.1038
moonshotai/kimi-k2,C2,210,0.0971,0.0031,0.1385,46,0.1002,0.0328
moonshotai/kimi-k2,C2,all,0.1039,-0.0079,0.255,169,0.096,0.0874
moonshotai/kimi-k2,D,120,0.1135,-0.0358,0.1584,25,0.0776,0.0645
moonshotai/kimi-k2,D,150,0.0776,0.0322,0.1432,25,0.1098,0.0523
moonshotai/kimi-k2,D,180,0.1368,0.0495,0.1275,24,0.1863,0.1003
moonshotai/kimi-k2,D,210,0.0958,0.028,0.1444,25,0.1239,0.0553
moonshotai/kimi-k2,D,all,0.1056,0.0182,0.1435,99,0.1238,0.0678
google/gemini-2.5-flash,A,120,0.0981,0.0017,0.0611,9,0.0998,0.0167
google/gemini-2.5-flash,A,150,0.2756,0.0288,0.0778,9,0.3044,0.0039
google/gemini-2.5-flash,A,180,0.1495,-0.0076,0.1022,9,0.1419,0.0103
google/gemini-2.5-flash,A,210,0.1356,-0.0016,0.06,9,0.134,0.0042
google/gemini-2.5-flash,A,all,0.1647,0.0053,0.0753,36,0.17,0.0088
google/gemini-2.5-flash,B,120,0.089,0.0275,0.1256,9,0.1165,0.0157
google/gemini-2.5-flash,B,150,0.2259,-0.0249,0.0922,9,0.201,0.0071
google/gemini-2.5-flash,B,180,0.0867,0.0088,0.1944,9,0.0955,0.0241
google/gemini-2.5-flash,B,210,0.096,-0.0026,0.1272,9,0.0933,0.0022
google/gemini-2.5-flash,B,all,0.1244,0.0022,0.1349,36,0.1266,0.0123
google/gemini-2.5-flash,C1,120,0.2894,-0.0737,0.3527,15,0.2157,0.1968
google/gemini-2.5-flash,C1,150,0.2509,-0.0562,0.282,15,0.1947,0.1057
google/gemini-2.5-flash,C1,180,0.2001,-0.0292,0.3273,15,0.1709,0.1144
google/gemini-2.5-flash,C1,210,0.1695,-0.0238,0.3191,11,0.1457,0.0624
google/gemini-2.5-flash,C1,all,0.2316,-0.0473,0.3204,56,0.1843,0.1239
google/gemini-2.5-flash,C2,120,0.2131,-0.022,0.3677,42,0.1911,0.1294
google/gemini-2.5-flash,C2,150,0.1515,-0.0438,0.3614,42,0.1077,0.0883
google/gemini-2.5-flash,C2,180,0.1634,-0.0151,0.3909,42,0.1483,0.102
google/gemini-2.5-flash,C2,210,0.1272,0.0259,0.2578,46,0.1531,0.0328
google/gemini-2.5-flash,C2,all,0.1629,-0.0128,0.3425,172,0.1501,0.0869
google/gemini-2.5-flash,D,120,0.2023,-0.0814,0.2092,25,0.1209,0.0645
google/gemini-2.5-flash,D,150,0.1831,-0.0269,0.1926,25,0.1561,0.0523
google/gemini-2.5-flash,D,180,0.1891,0.0215,0.1752,25,0.2105,0.0991
google/gemini-2.5-flash,D,210,0.1847,-0.0146,0.1136,25,0.1701,0.0553
google/gemini-2.5-flash,D,all,0.1898,-0.0254,0.1726,100,0.1644,0.0678
qwen/qwen3-235b-a22b,A,120,0.1041,0.0591,0.1111,9,0.1632,0.0167
qwen/qwen3-235b-a22b,A,150,0.1191,0.0154,0.0633,9,0.1345,0.0039
qwen/qwen3-235b-a22b,A,180,0.0788,0.0221,0.0556,9,0.1009,0.0103
qwen/qwen3-235b-a22b,A,210,0.1925,0.0088,0.0511,9,0.2013,0.0042
qwen/qwen3-235b-a22b,A,all,0.1236,0.0263,0.0703,36,0.15,0.0088
qwen/qwen3-235b-a22b,B,120,0.0677,0.0211,0.1444,9,0.0888,0.0157
qwen/qwen3-235b-a22b,B,150,0.1447,-0.0299,0.1167,9,0.1148,0.0071
qwen/qwen3-235b-a22b,B,180,0.1893,0.0413,0.1089,9,0.2306,0.0241
qwen/qwen3-235b-a22b,B,210,0.0743,0.0305,0.1089,9,0.1048,0.0022
qwen/qwen3-235b-a22b,B,all,0.119,0.0158,0.1197,36,0.1348,0.0123
qwen/qwen3-235b-a22b,C1,120,0.175,-0.0871,0.3033,15,0.088,0.1968
qwen/qwen3-235b-a22b,C1,150,0.1406,-0.0157,0.3633,15,0.125,0.1057
qwen/qwen3-235b-a22b,C1,180,0.0961,-0.0217,0.3433,15,0.0744,0.1144
qwen/qwen3-235b-a22b,C1,210,0.158,0.025,0.2955,11,0.1829,0.0624
qwen/qwen3-235b-a22b,C1,all,0.1413,-0.0284,0.3286,56,0.1129,0.1239
qwen/qwen3-235b-a22b,C2,120,0.128,0.0047,0.2331,42,0.1327,0.1294
qwen/qwen3-235b-a22b,C2,150,0.0837,0.0403,0.2197,42,0.124,0.0883
qwen/qwen3-235b-a22b,C2,180,0.0994,0.0212,0.2307,42,0.1206,0.102
qwen/qwen3-235b-a22b,C2,210,0.1117,0.0304,0.1183,46,0.1421,0.0328
qwen/qwen3-235b-a22b,C2,all,0.1059,0.0243,0.1985,172,0.1302,0.0869
qwen/qwen3-235b-a22b,D,120,0.107,-0.0272,0.14,25,0.0797,0.0645
qwen/qwen3-235b-a22b,D,150,0.0966,0.0271,0.116,25,0.1237,0.0523
qwen/qwen3-235b-a22b,D,180,0.0833,0.0381,0.116,25,0.1214,0.0991
qwen/qwen3-235b-a22b,D,210,0.103,0.0312,0.1052,25,0.1342,0.0553
qwen/qwen3-235b-a22b,D,all,0.0975,0.0173,0.1193,100,0.1148,0.0678
openai/gpt-4.1,A,120,0.0923,0.028,0.0611,9,0.1203,0.0167
openai/gpt-4.1,A,150,0.166,0.0237,0.0956,9,0.1898,0.0039
openai/gpt-4.1,A,180,0.1426,-0.0119,0.0667,9,0.1307,0.0103
openai/gpt-4.1,A,210,0.0941,-0.0039,0.0356,9,0.0902,0.0042
openai/gpt-4.1,A,all,0.1237,0.009,0.0647,36,0.1327,0.0088
openai/gpt-4.1,B,120,0.0194,0.0062,0.0944,9,0.0256,0.0157
openai/gpt-4.1,B,150,0.1881,-0.0562,0.0844,9,0.1319,0.0071
openai/gpt-4.1,B,180,0.1978,0.0739,0.1122,9,0.2718,0.0241
openai/gpt-4.1,B,210,0.1675,0.01,0.0572,9,0.1774,0.0022
openai/gpt-4.1,B,all,0.1432,0.0085,0.0871,36,0.1517,0.0123
openai/gpt-4.1,C1,120,0.2106,-0.0736,0.392,15,0.137,0.1968
openai/gpt-4.1,C1,150,0.2193,-0.0689,0.2747,15,0.1504,0.1057
openai/gpt-4.1,C1,180,0.1535,-0.0584,0.3243,15,0.0951,0.1144
openai/gpt-4.1,C1,210,0.1424,0.0032,0.2681,11,0.1455,0.0624
openai/gpt-4.1,C1,all,0.1842,-0.0532,0.3181,56,0.1311,0.1239
openai/gpt-4.1,C2,120,0.1484,-0.0118,0.3551,42,0.1366,0.1294
openai/gpt-4.1,C2,150,0.1234,0.0532,0.3663,42,0.1766,0.0883
openai/gpt-4.1,C2,180,0.1546,0.0146,0.3043,42,0.1692,0.102
openai/gpt-4.1,C2,210,0.1418,0.019,0.1341,46,0.1608,0.0328
openai/gpt-4.1,C2,all,0.1421,0.0188,0.2863,172,0.1608,0.0869
openai/gpt-4.1,D,120,0.107,-0.0314,0.0986,25,0.0756,0.0645
openai/gpt-4.1,D,150,0.1094,0.0031,0.0972,25,0.1126,0.0523
openai/gpt-4.1,D,180,0.1078,0.0188,0.1116,25,0.1266,0.0991
openai/gpt-4.1,D,210,0.1157,-0.0072,0.083,25,0.1085,0.0553
openai/gpt-4.1,D,all,0.11,-0.0042,0.0976,100,0.1058,0.0678
deepseek/deepseek-chat,A,120,0.0755,0.0755,0.1022,9,0.151,0.0167
deepseek/deepseek-chat,A,150,0.1304,0.0331,0.1111,9,0.1635,0.0039
deepseek/deepseek-chat,A,180,0.0989,0.0065,0.0422,9,0.1054,0.0103
deepseek/deepseek-chat,A,210,0.2176,-0.0014,0.0689,9,0.2163,0.0042
deepseek/deepseek-chat,A,all,0.1306,0.0284,0.0811,36,0.159,0.0088
deepseek/deepseek-chat,B,120,0.0598,0.0354,0.1278,9,0.0951,0.0157
deepseek/deepseek-chat,B,150,0.3073,-0.0541,0.0944,9,0.2532,0.0071
deepseek/deepseek-chat,B,180,0.2547,0.0261,0.1578,9,0.2808,0.0241
deepseek/deepseek-chat,B,210,0.0642,-0.0332,0.1611,9,0.031,0.0022
deepseek/deepseek-chat,B,all,0.1715,-0.0064,0.1353,36,0.165,0.0123
deepseek/deepseek-chat,C1,120,0.2023,-0.1218,0.4053,15,0.0805,0.1968
deepseek/deepseek-chat,C1,150,0.1599,-0.1204,0.3193,15,0.0394,0.1057
deepseek/deepseek-chat,C1,180,0.0961,-0.025,0.3467,15,0.0711,0.1144
deepseek/deepseek-chat,C1,210,0.1059,0.0455,0.3182,11,0.1514,0.0624
deepseek/deepseek-chat,C1,all,0.1436,-0.0626,0.3495,56,0.0809,0.1239
deepseek/deepseek-chat,C2,120,0.1361,-0.0271,0.3217,42,0.109,0.1294
deepseek/deepseek-chat,C2,150,0.0827,0.009,0.2899,42,0.0917,0.0883
deepseek/deepseek-chat,C2,180,0.1172,0.0118,0.3124,42,0.1289,0.102
deepseek/deepseek-chat,C2,210,0.1219,0.017,0.1613,46,0.1388,0.0328
deepseek/deepseek-chat,C2,all,0.1146,0.003,0.2687,172,0.1176,0.0869
deepseek/deepseek-chat,D,120,0.104,-0.0314,0.198,25,0.0726,0.0645
deepseek/deepseek-chat,D,150,0.1028,0.0242,0.1932,25,0.127,0.0523
deepseek/deepseek-chat,D,180,0.1039,0.0295,0.1452,25,0.1334,0.0991
deepseek/deepseek-chat,D,210,0.1092,0.0277,0.144,25,0.1369,0.0553
deepseek/deepseek-chat,D,all,0.105,0.0125,0.1701,100,0.1175,0.0678
meta-llama/llama-4-scout,A,120,0.1389,-0.0184,0.1222,9,0.1206,0.0167
meta-llama/llama-4-scout,A,150,0.1598,0.0495,0.1467,9,0.2092,0.0039
meta-llama/llama-4-scout,A,180,0.0756,-0.0122,0.0611,9,0.0634,0.0103
meta-llama/llama-4-scout,A,210,0.2354,-0.0206,0.0789,9,0.2149,0.0042
meta-llama/llama-4-scout,A,all,0.1524,-0.0004,0.1022,36,0.152,0.0088
meta-llama/llama-4-scout,B,120,0.0721,0.0977,0.1778,9,0.1698,0.0157
meta-llama/llama-4-scout,B,150,0.279,-0.0788,0.1333,9,0.2003,0.0071
meta-llama/llama-4-scout,B,180,0.2217,0.0593,0.2278,9,0.281,0.0241
meta-llama/llama-4-scout,B,210,0.0471,0.0389,0.1222,9,0.086,0.0022
meta-llama/llama-4-scout,B,all,0.155,0.0293,0.1653,36,0.1842,0.0123
meta-llama/llama-4-scout,C1,120,0.1477,-0.1327,0.32,15,0.015,0.1968
meta-llama/llama-4-scout,C1,150,0.2521,-0.2042,0.3947,15,0.0479,0.1057
meta-llama/llama-4-scout,C1,180,0.173,-0.1371,0.44,15,0.0359,0.1144
meta-llama/llama-4-scout,C1,210,0.0945,-0.0279,0.2509,11,0.0665,0.0624
meta-llama/llama-4-scout,C1,all,0.172,-0.1324,0.3586,56,0.0396,0.1239
meta-llama/llama-4-scout,C2,120,0.1249,-0.0237,0.3281,42,0.1012,0.1294
meta-llama/llama-4-scout,C2,150,0.1297,-0.0293,0.2917,42,0.1004,0.0883
meta-llama/llama-4-scout,C2,180,0.084,0.0006,0.3214,42,0.0845,0.102
meta-llama/llama-4-scout,C2,210,0.1216,0.0094,0.1913,46,0.131,0.0328
meta-llama/llama-4-scout,C2,all,0.1152,-0.0103,0.281,172,0.1049,0.0869
meta-llama/llama-4-scout,D,120,0.07,0.0164,0.166,25,0.0863,0.0645
meta-llama/llama-4-scout,D,150,0.0823,0.0473,0.184,25,0.1296,0.0523
meta-llama/llama-4-scout,D,180,0.0843,0.0653,0.1668,25,0.1496,0.0991
meta-llama/llama-4-scout,D,210,0.1174,0.0476,0.154,25,0.165,0.0553
meta-llama/llama-4-scout,D,all,0.0885,0.0442,0.1677,100,0.1326,0.0678
